Date,Year,Month,MonthName,Quarter,Week,Day,DayName
1994-04-10,1994,4,April,2,14,10,Sunday
1994-04-11,1994,4,April,2,15,11,Monday
1994-04-12,1994,4,April,2,15,12,Tuesday
1994-04-13,1994,4,April,2,15,13,Wednesday
1994-04-16,1994,4,April,2,15,16,Saturday
1994-04-17,1994,4,April,2,15,17,Sunday
1994-04-19,1994,4,April,2,16,19,Tuesday
1994-04-22,1994,4,April,2,16,22,Friday
1994-04-23,1994,4,April,2,16,23,Saturday
1994-04-24,1994,4,April,2,16,24,Sunday
1994-04-26,1994,4,April,2,17,26,Tuesday
1994-04-27,1994,4,April,2,17,27,Wednesday
1994-04-29,1994,4,April,2,17,29,Friday
1994-04-30,1994,4,April,2,17,30,Saturday
1994-05-01,1994,5,May,2,17,1,Sunday
1994-05-02,1994,5,May,2,18,2,Monday
1994-05-03,1994,5,May,2,18,3,Tuesday
1994-05-04,1994,5,May,2,18,4,Wednesday
1994-05-05,1994,5,May,2,18,5,Thursday
1994-05-07,1994,5,May,2,18,7,Saturday
1994-05-08,1994,5,May,2,18,8,Sunday
1994-05-15,1994,5,May,2,19,15,Sunday
1994-05-21,1994,5,May,2,20,21,Saturday
1994-07-28,1994,7,July,3,30,28,Thursday
1994-07-29,1994,7,July,3,30,29,Friday
1994-08-01,1994,8,August,3,31,1,Monday
1994-08-02,1994,8,August,3,31,2,Tuesday
1994-08-05,1994,8,August,3,31,5,Friday
1994-08-06,1994,8,August,3,31,6,Saturday
1994-08-12,1994,8,August,3,32,12,Friday
1994-08-13,1994,8,August,3,32,13,Saturday
1994-08-19,1994,8,August,3,33,19,Friday
1994-08-20,1994,8,August,3,33,20,Saturday
1994-08-21,1994,8,August,3,33,21,Sunday
1994-08-22,1994,8,August,3,34,22,Monday
1994-08-23,1994,8,August,3,34,23,Tuesday
1994-08-24,1994,8,August,3,34,24,Wednesday
1994-08-26,1994,8,August,3,34,26,Friday
1994-08-27,1994,8,August,3,34,27,Saturday
1994-08-28,1994,8,August,3,34,28,Sunday
1994-08-29,1994,8,August,3,35,29,Monday
1994-08-30,1994,8,August,3,35,30,Tuesday
1994-08-31,1994,8,August,3,35,31,Wednesday
1994-09-02,1994,9,September,3,35,2,Friday
1994-09-03,1994,9,September,3,35,3,Saturday
1994-09-04,1994,9,September,3,35,4,Sunday
1994-09-09,1994,9,September,3,36,9,Friday
1994-09-10,1994,9,September,3,36,10,Saturday
1994-09-11,1994,9,September,3,36,11,Sunday
1994-09-12,1994,9,September,3,37,12,Monday
1994-09-17,1994,9,September,3,37,17,Saturday
1994-09-18,1994,9,September,3,37,18,Sunday
1994-09-19,1994,9,September,3,38,19,Monday
1994-09-21,1994,9,September,3,38,21,Wednesday
1994-09-22,1994,9,September,3,38,22,Thursday
1994-09-23,1994,9,September,3,38,23,Friday
1994-09-24,1994,9,September,3,38,24,Saturday
1994-09-25,1994,9,September,3,38,25,Sunday
1994-09-26,1994,9,September,3,39,26,Monday
1994-09-30,1994,9,September,3,39,30,Friday
1994-10-01,1994,10,October,4,39,1,Saturday
1994-10-02,1994,10,October,4,39,2,Sunday
1994-10-03,1994,10,October,4,40,3,Monday
1994-10-05,1994,10,October,4,40,5,Wednesday
1994-10-06,1994,10,October,4,40,6,Thursday
1994-10-08,1994,10,October,4,40,8,Saturday
1994-10-09,1994,10,October,4,40,9,Sunday
1994-10-10,1994,10,October,4,41,10,Monday
1994-10-11,1994,10,October,4,41,11,Tuesday
1994-10-14,1994,10,October,4,41,14,Friday
1994-10-15,1994,10,October,4,41,15,Saturday
1994-10-16,1994,10,October,4,41,16,Sunday
1994-10-17,1994,10,October,4,42,17,Monday
1994-10-22,1994,10,October,4,42,22,Saturday
1994-10-23,1994,10,October,4,42,23,Sunday
1994-10-24,1994,10,October,4,43,24,Monday
1994-10-27,1994,10,October,4,43,27,Thursday
1994-10-28,1994,10,October,4,43,28,Friday
1994-10-29,1994,10,October,4,43,29,Saturday
1994-10-30,1994,10,October,4,43,30,Sunday
1994-10-31,1994,10,October,4,44,31,Monday
1994-11-01,1994,11,November,4,44,1,Tuesday
1994-11-02,1994,11,November,4,44,2,Wednesday
1994-11-04,1994,11,November,4,44,4,Friday
1994-11-05,1994,11,November,4,44,5,Saturday
1994-11-06,1994,11,November,4,44,6,Sunday
1994-11-07,1994,11,November,4,45,7,Monday
1994-11-08,1994,11,November,4,45,8,Tuesday
1994-11-09,1994,11,November,4,45,9,Wednesday
1994-11-10,1994,11,November,4,45,10,Thursday
1994-11-11,1994,11,November,4,45,11,Friday
1994-11-12,1994,11,November,4,45,12,Saturday
1994-11-13,1994,11,November,4,45,13,Sunday
1994-11-18,1994,11,November,4,46,18,Friday
1994-11-19,1994,11,November,4,46,19,Saturday
1994-11-20,1994,11,November,4,46,20,Sunday
1994-11-21,1994,11,November,4,47,21,Monday
1994-11-23,1994,11,November,4,47,23,Wednesday
1994-11-25,1994,11,November,4,47,25,Friday
1994-11-26,1994,11,November,4,47,26,Saturday
1994-11-27,1994,11,November,4,47,27,Sunday
1994-11-29,1994,11,November,4,48,29,Tuesday
1994-12-01,1994,12,December,4,48,1,Thursday
1994-12-02,1994,12,December,4,48,2,Friday
1994-12-03,1994,12,December,4,48,3,Saturday
1994-12-04,1994,12,December,4,48,4,Sunday
1994-12-08,1994,12,December,4,49,8,Thursday
1994-12-10,1994,12,December,4,49,10,Saturday
1994-12-11,1994,12,December,4,49,11,Sunday
1994-12-12,1994,12,December,4,50,12,Monday
1994-12-16,1994,12,December,4,50,16,Friday
1994-12-17,1994,12,December,4,50,17,Saturday
1994-12-18,1994,12,December,4,50,18,Sunday
1994-12-19,1994,12,December,4,51,19,Monday
1994-12-21,1994,12,December,4,51,21,Wednesday
1994-12-22,1994,12,December,4,51,22,Thursday
1994-12-26,1994,12,December,4,52,26,Monday
1994-12-27,1994,12,December,4,52,27,Tuesday
1994-12-28,1994,12,December,4,52,28,Wednesday
1994-12-31,1994,12,December,4,52,31,Saturday
1995-01-02,1995,1,January,1,1,2,Monday
1995-01-03,1995,1,January,1,1,3,Tuesday
1995-01-07,1995,1,January,1,1,7,Saturday
1995-01-08,1995,1,January,1,1,8,Sunday
1995-01-11,1995,1,January,1,2,11,Wednesday
1995-01-14,1995,1,January,1,2,14,Saturday
1995-01-15,1995,1,January,1,2,15,Sunday
1995-01-21,1995,1,January,1,3,21,Saturday
1995-01-22,1995,1,January,1,3,22,Sunday
1995-01-23,1995,1,January,1,4,23,Monday
1995-01-24,1995,1,January,1,4,24,Tuesday
1995-01-25,1995,1,January,1,4,25,Wednesday
1995-01-28,1995,1,January,1,4,28,Saturday
1995-01-29,1995,1,January,1,4,29,Sunday
1995-02-01,1995,2,February,1,5,1,Wednesday
1995-02-04,1995,2,February,1,5,4,Saturday
1995-02-05,1995,2,February,1,5,5,Sunday
1995-02-07,1995,2,February,1,6,7,Tuesday
1995-02-08,1995,2,February,1,6,8,Wednesday
1995-02-11,1995,2,February,1,6,11,Saturday
1995-02-12,1995,2,February,1,6,12,Sunday
1995-02-13,1995,2,February,1,7,13,Monday
1995-02-15,1995,2,February,1,7,15,Wednesday
1995-02-17,1995,2,February,1,7,17,Friday
1995-02-18,1995,2,February,1,7,18,Saturday
1995-02-19,1995,2,February,1,7,19,Sunday
1995-02-21,1995,2,February,1,8,21,Tuesday
1995-02-22,1995,2,February,1,8,22,Wednesday
1995-02-23,1995,2,February,1,8,23,Thursday
1995-02-24,1995,2,February,1,8,24,Friday
1995-02-25,1995,2,February,1,8,25,Saturday
1995-02-26,1995,2,February,1,8,26,Sunday
1995-02-28,1995,2,February,1,9,28,Tuesday
1995-03-04,1995,3,March,1,9,4,Saturday
1995-03-05,1995,3,March,1,9,5,Sunday
1995-03-06,1995,3,March,1,10,6,Monday
1995-03-07,1995,3,March,1,10,7,Tuesday
1995-03-08,1995,3,March,1,10,8,Wednesday
1995-03-09,1995,3,March,1,10,9,Thursday
1995-03-10,1995,3,March,1,10,10,Friday
1995-03-11,1995,3,March,1,10,11,Saturday
1995-03-12,1995,3,March,1,10,12,Sunday
1995-03-13,1995,3,March,1,11,13,Monday
1995-03-14,1995,3,March,1,11,14,Tuesday
1995-03-15,1995,3,March,1,11,15,Wednesday
1995-03-17,1995,3,March,1,11,17,Friday
1995-03-18,1995,3,March,1,11,18,Saturday
1995-03-19,1995,3,March,1,11,19,Sunday
1995-03-20,1995,3,March,1,12,20,Monday
1995-03-21,1995,3,March,1,12,21,Tuesday
1995-03-22,1995,3,March,1,12,22,Wednesday
1995-03-23,1995,3,March,1,12,23,Thursday
1995-03-25,1995,3,March,1,12,25,Saturday
1995-03-31,1995,3,March,1,13,31,Friday
1995-04-01,1995,4,April,2,13,1,Saturday
1995-04-02,1995,4,April,2,13,2,Sunday
1995-04-04,1995,4,April,2,14,4,Tuesday
1995-04-05,1995,4,April,2,14,5,Wednesday
1995-04-07,1995,4,April,2,14,7,Friday
1995-04-08,1995,4,April,2,14,8,Saturday
1995-04-09,1995,4,April,2,14,9,Sunday
1995-04-10,1995,4,April,2,15,10,Monday
1995-04-11,1995,4,April,2,15,11,Tuesday
1995-04-12,1995,4,April,2,15,12,Wednesday
1995-04-13,1995,4,April,2,15,13,Thursday
1995-04-14,1995,4,April,2,15,14,Friday
1995-04-15,1995,4,April,2,15,15,Saturday
1995-04-16,1995,4,April,2,15,16,Sunday
1995-04-17,1995,4,April,2,16,17,Monday
1995-04-19,1995,4,April,2,16,19,Wednesday
1995-04-21,1995,4,April,2,16,21,Friday
1995-04-22,1995,4,April,2,16,22,Saturday
1995-04-23,1995,4,April,2,16,23,Sunday
1995-04-28,1995,4,April,2,17,28,Friday
1995-04-29,1995,4,April,2,17,29,Saturday
1995-04-30,1995,4,April,2,17,30,Sunday
1995-05-01,1995,5,May,2,18,1,Monday
1995-05-02,1995,5,May,2,18,2,Tuesday
1995-05-03,1995,5,May,2,18,3,Wednesday
1995-05-04,1995,5,May,2,18,4,Thursday
1995-05-05,1995,5,May,2,18,5,Friday
1995-05-06,1995,5,May,2,18,6,Saturday
1995-05-07,1995,5,May,2,18,7,Sunday
1995-05-08,1995,5,May,2,19,8,Monday
1995-05-09,1995,5,May,2,19,9,Tuesday
1995-05-10,1995,5,May,2,19,10,Wednesday
1995-05-12,1995,5,May,2,19,12,Friday
1995-05-13,1995,5,May,2,19,13,Saturday
1995-05-14,1995,5,May,2,19,14,Sunday
1995-05-17,1995,5,May,2,20,17,Wednesday
1995-05-19,1995,5,May,2,20,19,Friday
1995-05-20,1995,5,May,2,20,20,Saturday
1995-05-21,1995,5,May,2,20,21,Sunday
1995-05-26,1995,5,May,2,21,26,Friday
1995-05-27,1995,5,May,2,21,27,Saturday
1995-05-28,1995,5,May,2,21,28,Sunday
1995-05-31,1995,5,May,2,22,31,Wednesday
1995-06-03,1995,6,June,2,22,3,Saturday
1995-06-04,1995,6,June,2,22,4,Sunday
1995-06-10,1995,6,June,2,23,10,Saturday
1995-06-11,1995,6,June,2,23,11,Sunday
1995-06-17,1995,6,June,2,24,17,Saturday
1995-06-18,1995,6,June,2,24,18,Sunday
1995-07-19,1995,7,July,3,29,19,Wednesday
1995-07-26,1995,7,July,3,30,26,Wednesday
1995-08-04,1995,8,August,3,31,4,Friday
1995-08-05,1995,8,August,3,31,5,Saturday
1995-08-09,1995,8,August,3,32,9,Wednesday
1995-08-11,1995,8,August,3,32,11,Friday
1995-08-12,1995,8,August,3,32,12,Saturday
1995-08-13,1995,8,August,3,32,13,Sunday
1995-08-18,1995,8,August,3,33,18,Friday
1995-08-19,1995,8,August,3,33,19,Saturday
1995-08-20,1995,8,August,3,33,20,Sunday
1995-08-21,1995,8,August,3,34,21,Monday
1995-08-22,1995,8,August,3,34,22,Tuesday
1995-08-23,1995,8,August,3,34,23,Wednesday
1995-08-25,1995,8,August,3,34,25,Friday
1995-08-26,1995,8,August,3,34,26,Saturday
1995-08-27,1995,8,August,3,34,27,Sunday
1995-08-28,1995,8,August,3,35,28,Monday
1995-08-29,1995,8,August,3,35,29,Tuesday
1995-08-30,1995,8,August,3,35,30,Wednesday
1995-09-01,1995,9,September,3,35,1,Friday
1995-09-02,1995,9,September,3,35,2,Saturday
1995-09-03,1995,9,September,3,35,3,Sunday
1995-09-08,1995,9,September,3,36,8,Friday
1995-09-09,1995,9,September,3,36,9,Saturday
1995-09-10,1995,9,September,3,36,10,Sunday
1995-09-11,1995,9,September,3,37,11,Monday
1995-09-12,1995,9,September,3,37,12,Tuesday
1995-09-15,1995,9,September,3,37,15,Friday
1995-09-16,1995,9,September,3,37,16,Saturday
1995-09-17,1995,9,September,3,37,17,Sunday
1995-09-20,1995,9,September,3,38,20,Wednesday
1995-09-21,1995,9,September,3,38,21,Thursday
1995-09-22,1995,9,September,3,38,22,Friday
1995-09-23,1995,9,September,3,38,23,Saturday
1995-09-24,1995,9,September,3,38,24,Sunday
1995-09-25,1995,9,September,3,39,25,Monday
1995-09-29,1995,9,September,3,39,29,Friday
1995-09-30,1995,9,September,3,39,30,Saturday
1995-10-01,1995,10,October,4,39,1,Sunday
1995-10-02,1995,10,October,4,40,2,Monday
1995-10-03,1995,10,October,4,40,3,Tuesday
1995-10-04,1995,10,October,4,40,4,Wednesday
1995-10-05,1995,10,October,4,40,5,Thursday
1995-10-07,1995,10,October,4,40,7,Saturday
1995-10-08,1995,10,October,4,40,8,Sunday
1995-10-13,1995,10,October,4,41,13,Friday
1995-10-14,1995,10,October,4,41,14,Saturday
1995-10-15,1995,10,October,4,41,15,Sunday
1995-10-16,1995,10,October,4,42,16,Monday
1995-10-20,1995,10,October,4,42,20,Friday
1995-10-21,1995,10,October,4,42,21,Saturday
1995-10-22,1995,10,October,4,42,22,Sunday
1995-10-26,1995,10,October,4,43,26,Thursday
1995-10-27,1995,10,October,4,43,27,Friday
1995-10-28,1995,10,October,4,43,28,Saturday
1995-10-29,1995,10,October,4,43,29,Sunday
1995-10-30,1995,10,October,4,44,30,Monday
1995-11-03,1995,11,November,4,44,3,Friday
1995-11-04,1995,11,November,4,44,4,Saturday
1995-11-05,1995,11,November,4,44,5,Sunday
1995-11-06,1995,11,November,4,45,6,Monday
1995-11-07,1995,11,November,4,45,7,Tuesday
1995-11-08,1995,11,November,4,45,8,Wednesday
1995-11-10,1995,11,November,4,45,10,Friday
1995-11-11,1995,11,November,4,45,11,Saturday
1995-11-12,1995,11,November,4,45,12,Sunday
1995-11-17,1995,11,November,4,46,17,Friday
1995-11-18,1995,11,November,4,46,18,Saturday
1995-11-19,1995,11,November,4,46,19,Sunday
1995-11-20,1995,11,November,4,47,20,Monday
1995-11-21,1995,11,November,4,47,21,Tuesday
1995-11-22,1995,11,November,4,47,22,Wednesday
1995-11-24,1995,11,November,4,47,24,Friday
1995-11-25,1995,11,November,4,47,25,Saturday
1995-11-26,1995,11,November,4,47,26,Sunday
1995-11-27,1995,11,November,4,48,27,Monday
1995-11-30,1995,11,November,4,48,30,Thursday
1995-12-01,1995,12,December,4,48,1,Friday
1995-12-02,1995,12,December,4,48,2,Saturday
1995-12-03,1995,12,December,4,48,3,Sunday
1995-12-04,1995,12,December,4,49,4,Monday
1995-12-08,1995,12,December,4,49,8,Friday
1995-12-09,1995,12,December,4,49,9,Saturday
1995-12-10,1995,12,December,4,49,10,Sunday
1995-12-11,1995,12,December,4,50,11,Monday
1995-12-16,1995,12,December,4,50,16,Saturday
1995-12-17,1995,12,December,4,50,17,Sunday
1995-12-18,1995,12,December,4,51,18,Monday
1995-12-20,1995,12,December,4,51,20,Wednesday
1995-12-21,1995,12,December,4,51,21,Thursday
1995-12-23,1995,12,December,4,51,23,Saturday
1995-12-24,1995,12,December,4,51,24,Sunday
1995-12-26,1995,12,December,4,52,26,Tuesday
1995-12-27,1995,12,December,4,52,27,Wednesday
1995-12-30,1995,12,December,4,52,30,Saturday
1996-01-01,1996,1,January,1,1,1,Monday
1996-01-02,1996,1,January,1,1,2,Tuesday
1996-01-03,1996,1,January,1,1,3,Wednesday
1996-01-04,1996,1,January,1,1,4,Thursday
1996-01-06,1996,1,January,1,1,6,Saturday
1996-01-07,1996,1,January,1,1,7,Sunday
1996-01-09,1996,1,January,1,2,9,Tuesday
1996-01-10,1996,1,January,1,2,10,Wednesday
1996-01-13,1996,1,January,1,2,13,Saturday
1996-01-14,1996,1,January,1,2,14,Sunday
1996-01-19,1996,1,January,1,3,19,Friday
1996-01-20,1996,1,January,1,3,20,Saturday
1996-01-21,1996,1,January,1,3,21,Sunday
1996-01-23,1996,1,January,1,4,23,Tuesday
1996-01-24,1996,1,January,1,4,24,Wednesday
1996-01-25,1996,1,January,1,4,25,Thursday
1996-01-27,1996,1,January,1,4,27,Saturday
1996-01-28,1996,1,January,1,4,28,Sunday
1996-01-31,1996,1,January,1,5,31,Wednesday
1996-02-03,1996,2,February,1,5,3,Saturday
1996-02-04,1996,2,February,1,5,4,Sunday
1996-02-06,1996,2,February,1,6,6,Tuesday
1996-02-07,1996,2,February,1,6,7,Wednesday
1996-02-09,1996,2,February,1,6,9,Friday
1996-02-10,1996,2,February,1,6,10,Saturday
1996-02-11,1996,2,February,1,6,11,Sunday
1996-02-12,1996,2,February,1,7,12,Monday
1996-02-14,1996,2,February,1,7,14,Wednesday
1996-02-16,1996,2,February,1,7,16,Friday
1996-02-17,1996,2,February,1,7,17,Saturday
1996-02-18,1996,2,February,1,7,18,Sunday
1996-02-21,1996,2,February,1,8,21,Wednesday
1996-02-23,1996,2,February,1,8,23,Friday
1996-02-24,1996,2,February,1,8,24,Saturday
1996-02-25,1996,2,February,1,8,25,Sunday
1996-02-26,1996,2,February,1,9,26,Monday
1996-02-27,1996,2,February,1,9,27,Tuesday
1996-02-28,1996,2,February,1,9,28,Wednesday
1996-03-01,1996,3,March,1,9,1,Friday
1996-03-02,1996,3,March,1,9,2,Saturday
1996-03-03,1996,3,March,1,9,3,Sunday
1996-03-04,1996,3,March,1,10,4,Monday
1996-03-05,1996,3,March,1,10,5,Tuesday
1996-03-06,1996,3,March,1,10,6,Wednesday
1996-03-08,1996,3,March,1,10,8,Friday
1996-03-09,1996,3,March,1,10,9,Saturday
1996-03-10,1996,3,March,1,10,10,Sunday
1996-03-12,1996,3,March,1,11,12,Tuesday
1996-03-13,1996,3,March,1,11,13,Wednesday
1996-03-15,1996,3,March,1,11,15,Friday
1996-03-16,1996,3,March,1,11,16,Saturday
1996-03-17,1996,3,March,1,11,17,Sunday
1996-03-18,1996,3,March,1,12,18,Monday
1996-03-19,1996,3,March,1,12,19,Tuesday
1996-03-20,1996,3,March,1,12,20,Wednesday
1996-03-22,1996,3,March,1,12,22,Friday
1996-03-23,1996,3,March,1,12,23,Saturday
1996-03-24,1996,3,March,1,12,24,Sunday
1996-03-25,1996,3,March,1,13,25,Monday
1996-03-27,1996,3,March,1,13,27,Wednesday
1996-03-28,1996,3,March,1,13,28,Thursday
1996-03-29,1996,3,March,1,13,29,Friday
1996-03-30,1996,3,March,1,13,30,Saturday
1996-03-31,1996,3,March,1,13,31,Sunday
1996-04-02,1996,4,April,2,14,2,Tuesday
1996-04-03,1996,4,April,2,14,3,Wednesday
1996-04-04,1996,4,April,2,14,4,Thursday
1996-04-05,1996,4,April,2,14,5,Friday
1996-04-06,1996,4,April,2,14,6,Saturday
1996-04-07,1996,4,April,2,14,7,Sunday
1996-04-08,1996,4,April,2,15,8,Monday
1996-04-09,1996,4,April,2,15,9,Tuesday
1996-04-10,1996,4,April,2,15,10,Wednesday
1996-04-12,1996,4,April,2,15,12,Friday
1996-04-13,1996,4,April,2,15,13,Saturday
1996-04-14,1996,4,April,2,15,14,Sunday
1996-04-15,1996,4,April,2,16,15,Monday
1996-04-16,1996,4,April,2,16,16,Tuesday
1996-04-17,1996,4,April,2,16,17,Wednesday
1996-04-19,1996,4,April,2,16,19,Friday
1996-04-20,1996,4,April,2,16,20,Saturday
1996-04-21,1996,4,April,2,16,21,Sunday
1996-04-23,1996,4,April,2,17,23,Tuesday
1996-04-24,1996,4,April,2,17,24,Wednesday
1996-04-26,1996,4,April,2,17,26,Friday
1996-04-27,1996,4,April,2,17,27,Saturday
1996-04-28,1996,4,April,2,17,28,Sunday
1996-04-29,1996,4,April,2,18,29,Monday
1996-04-30,1996,4,April,2,18,30,Tuesday
1996-05-01,1996,5,May,2,18,1,Wednesday
1996-05-02,1996,5,May,2,18,2,Thursday
1996-05-03,1996,5,May,2,18,3,Friday
1996-05-04,1996,5,May,2,18,4,Saturday
1996-05-05,1996,5,May,2,18,5,Sunday
